iter	MultiClass
0	1.76615018
1	1.289624578
2	1.007827412
3	0.8263355602
4	0.6963398327
5	0.5931536588
6	0.5032502608
7	0.4362935847
8	0.3855800282
9	0.3406403975
10	0.2986578508
11	0.264718784
12	0.2413823735
13	0.2209273772
14	0.2021707188
15	0.1850810138
16	0.1685306549
17	0.1547794169
18	0.1429945165
19	0.1333128496
20	0.1245325695
21	0.1168697877
22	0.1099558917
23	0.1039911097
24	0.09881766926
25	0.09304931814
26	0.08895127557
27	0.08482279344
28	0.07978628332
29	0.07967123552
30	0.07599485571
31	0.07593030063
32	0.07203295448
33	0.06874649741
34	0.06632797068
35	0.06358058669
36	0.0613849033
37	0.0588981325
38	0.05884364735
39	0.05671309124
40	0.05494119904
41	0.0526140213
42	0.05081566464
43	0.04965286688
44	0.04817647067
45	0.04686971578
46	0.04552734548
47	0.04452352524
48	0.04340549382
49	0.04256879633
50	0.04127156518
51	0.04034257369
52	0.0394045483
53	0.03822566813
54	0.03718546954
55	0.03640950376
56	0.03561405052
57	0.03467342203
58	0.03402742256
59	0.03330107169
60	0.03267189373
61	0.03197934411
62	0.03147927848
63	0.03089593757
64	0.03026557619
65	0.02982615341
66	0.02923230041
67	0.02860979167
68	0.02807883566
69	0.02745979916
70	0.02709179792
71	0.02661729726
72	0.02594130039
73	0.02558293776
74	0.02524356625
75	0.02475896315
76	0.02431198467
77	0.02396724224
78	0.02364282391
79	0.02337971167
80	0.02310243086
81	0.0228655555
82	0.02261872075
83	0.02237669338
84	0.02188093879
85	0.02161361954
86	0.0212545655
87	0.02103425806
88	0.02080208388
89	0.02052555301
90	0.02015846643
91	0.01994793632
92	0.01973294562
93	0.01947420077
94	0.0192967805
95	0.01910430301
96	0.01893987656
97	0.01874608994
98	0.01845368039
99	0.01826690544
100	0.01805813204
101	0.01790354143
102	0.01760713512
103	0.01746032346
104	0.01722103466
105	0.01703235128
106	0.01684712822
107	0.01669122739
108	0.0165183219
109	0.01637446338
110	0.0162089803
111	0.01601171168
112	0.01578848037
113	0.01558776444
114	0.01534274817
115	0.01522284963
116	0.01509772864
117	0.01496245319
118	0.01480357322
119	0.01466205662
120	0.01450291872
121	0.01435968659
122	0.0142106804
123	0.01409594579
124	0.0139683821
125	0.01382289366
126	0.01370125467
127	0.01352987073
128	0.01338561015
129	0.01328619719
130	0.01317905404
131	0.01304815249
132	0.01292399493
133	0.01280410398
134	0.01270312938
135	0.01261144768
136	0.01252383102
137	0.01241662936
138	0.01228308569
139	0.01219046116
140	0.01212874109
141	0.01204554493
142	0.01193986914
143	0.01185692007
144	0.0118069302
145	0.01173505024
146	0.01161813844
147	0.01155927831
148	0.01147298054
149	0.0114047549
150	0.01134044691
151	0.01124603315
152	0.01116639918
153	0.01109069044
154	0.01103135564
155	0.01095042879
156	0.01088717526
157	0.01079284061
158	0.01073458411
159	0.01062499827
160	0.01056907177
161	0.01050062071
162	0.01044598493
163	0.01035929376
164	0.01026993773
165	0.01019368172
166	0.0101193298
167	0.01002094312
168	0.009963508086
169	0.009919904579
170	0.009865275296
171	0.009804285656
172	0.009759604931
173	0.009700859677
174	0.009624945034
175	0.009573656862
176	0.009534777295
177	0.009478887645
178	0.009425709464
179	0.009378773516
180	0.009326572852
181	0.009279208834
182	0.009236029061
183	0.009154462814
184	0.009102742238
185	0.009061364152
186	0.009017924287
187	0.008974037929
188	0.008935268359
189	0.008885102922
190	0.008832566305
191	0.00875603665
192	0.008698760921
193	0.008666007085
194	0.00862811262
195	0.008574557846
196	0.00853088769
197	0.008492972634
198	0.008432034471
199	0.008388789134
200	0.008337641304
201	0.008285441724
202	0.008220689947
203	0.008173432133
204	0.008131407608
205	0.008099069379
206	0.008070104772
207	0.008027525382
208	0.008000278473
209	0.007958948612
210	0.007919528809
211	0.007869984345
212	0.007822984457
213	0.007777221636
214	0.007718808001
215	0.007686536962
216	0.007640274005
217	0.00760129636
218	0.007564506748
219	0.007513345913
220	0.007470534065
221	0.007433006438
222	0.007370183685
223	0.007322593711
224	0.007298067483
225	0.007263500582
226	0.007237107104
227	0.007195604931
228	0.007162062688
229	0.00713286725
230	0.007103587281
231	0.007060405341
232	0.00701641332
233	0.006994730234
234	0.006965164705
235	0.006927016648
236	0.006893965873
237	0.006848433885
238	0.006823591211
239	0.006795023788
240	0.006751249053
241	0.006724176082
242	0.006701012633
243	0.006656942584
244	0.006628667766
245	0.006580761888
246	0.006561761553
247	0.006522198157
248	0.006488554044
249	0.006451257792
250	0.006419842893
251	0.006389611959
252	0.006370434436
253	0.006320000237
254	0.006298692118
255	0.006270837242
256	0.006252716346
257	0.00621533719
258	0.006198088689
259	0.006169399348
260	0.006138475375
261	0.006117490747
262	0.006095388803
263	0.006069808657
264	0.006038818034
265	0.006015563553
266	0.005981513587
267	0.005941115184
268	0.005924895677
269	0.005900113149
270	0.005882176486
271	0.005859353326
272	0.005834862319
273	0.005808763071
274	0.005784509399
275	0.005764389038
276	0.005738137527
277	0.005717281862
278	0.005694640766
279	0.005673243783
280	0.005655175989
281	0.005640580437
282	0.00561387268
283	0.005598463795
284	0.00557366447
285	0.005555557121
286	0.00553532026
287	0.005517014048
288	0.005493943258
289	0.005478184873
290	0.005457478762
291	0.005424267054
292	0.005406901511
293	0.005374957215
294	0.005357969349
295	0.005343511972
296	0.005317026919
297	0.005293479833
298	0.005268124559
299	0.005247234214
