model,cv_mean_acc,cv_std_acc,test_acc,macro_precision,macro_recall,macro_f1,train_time_sec
CatBoost_GPU,0.9880681818181818,0.008691510534533157,0.9954545454545455,0.9956709956709957,0.9954545454545454,0.995451702768776,21.11758255958557
RandomForest,0.99375,0.005508727110700368,0.9931818181818182,0.9935064935064936,0.993181818181818,0.9931775541531639,4.169067144393921
GradientBoosting_sklearn,0.9857954545454547,0.004017652165832661,0.9886363636363636,0.9895710350255804,0.9886363636363634,0.9886735002267737,97.73869824409485
XGBoost_GPU,0.990340909090909,0.0022727272727272483,0.9886363636363636,0.9891774891774893,0.9886363636363634,0.9885065725887291,28.197479724884033
LightGBM_GPU,0.9920454545454547,0.003768891807222035,0.9886363636363636,0.9893742621015349,0.9886363636363634,0.9885593653244485,51.928194999694824
SVM_RBF,0.9795454545454545,0.010690277114901595,0.9840909090909091,0.9856099105110961,0.9840909090909092,0.9840381050638686,0.7718091011047363
KNN,0.965340909090909,0.012106406677649138,0.9795454545454545,0.9803555030827759,0.9795454545454544,0.9792832328133997,0.12862205505371094
LogisticRegression,0.9681818181818181,0.006577180058403534,0.9727272727272728,0.9740217299040829,0.9727272727272727,0.9724640256149183,0.4515986442565918
